movie_id	title	genre	tag
24	Powder (1995)	['Drama', 'Sci-Fi']	"['albino', 'albino', 'special powers', 'earnest', 'elegiac', 'poignant', 'reflective', 'tearjerking', 'owned', ""can't remember"", 'misunderstood character teaches us all a cheesy lesson', 'post apocalyptic', 'inane', 'pretentious']"
25	Leaving Las Vegas (1995)	['Drama', 'Romance']	['alcoholism', 'library', 'oscar (best actor)', 'addiction', 'loneliness', 'love is not enough', 'bibliothek', 'overrated', 'elisabeth - emotion!', 'nicolas cage', 'nicolas cage', 'oscar (best actor)', 'alcoholism', 'atmospheric', 'elegiac', 'intimate', 'melancholy', 'poignant', 'prostitutes', 'star-crossed lovers', 'suicide', 'understated', 'nudity (topless)', 'nicolas cage', 'depressing', 'bibliothek', 'owned', 'suicide', 'nicolas cage', 'alcoholism', 'dark']
26	Othello (1995)	['Drama']	['based on a play', 'shakespearean', 'shakespeare', 'shakespeare', 'shakespeare', 'shakespeare', 'shakespeare', 'ei muista', 'shakespeare', 'nudity (topless)', 'adapted from:play', 'playwright:shakespeare', 'shakespeare', 'wow', 'great']
27	Now and Then (1995)	['Drama']	
28	Persuasion (1995)	['Drama', 'Romance']	['based on a book', 'jane austen', 'in netflix queue', 'jane austen', 'library vhs', 'fiona shaw', 'jane austen', 'adaptation', 'jane austen', 'jane austen', '?adapted from:book', '?author:jane austen', 'jane austen', 'jane austen', 'jane austen', 'jane austen', 'oppl']
29	City of Lost Children, The (CitÃ© des enfants perdus, La) (1995)	['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']	"['jeunet', 'visually appealing', 'beautiful', 'dark fantasy', 'dystopia', 'kidnapping', 'clowny clones', 'abused children', 'surreal', 'on computer', 'dystopia', 'children', 'santa claus', 'dystopia', 'mechanized', 'surreal', 'dystopia', 'surreal', 'legenda pt-br', 'steampunk', ""erlend's dvds"", 'atmospheric', 'bleak', 'dreamlike', 'fanciful', 'hallucinatory', 'stylized', 'whimsical', '2.5', 'dark fantasy', 'dystopia', 'steampunk', 'surreal', 'surreal', 'fanciful', 'santa claus', 'surreal', 'bleak', 'children', 'kidnapping', 'steampunk', 'surreal', 'beautiful', 'need to own', 'dark fairytale', 'sci-fi', 'netflix instant watching', 'skinut']"
30	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	['Crime', 'Drama']	
31	Dangerous Minds (1995)	['Drama']	"['dangerous minds', 'high school', 'teacher', 'bibliothek', 'afternoon section', 'own', ""erlend's dvds"", 'seen at the cinema', 'high school', 'teacher as protagonist', 'drama', 'crime', 'island']"
32	12 Monkeys (Twelve Monkeys) (1995)	['Sci-Fi', 'Thriller']	"['biology', 'genetics', 'brad pitt', 'bruce willis', 'time travel', 'gilliam', 'brad pitt', 'bruce willis', 'gfei own it', 'brad pitt', 'bruce willis', 'excellent', 'gilliam', 'sci-fi. dark', 'thriller', 'vhs', 'brilliant', 'classic', 'genius', 'psychology', 'after you watch it you spend hours thinkig about it', 'weird good film', 'terry gilliam', 'special', 'overrated', 'time travel', 'dystopia', 'post-apocalyptic', 'time travel', 'time travel', 'time travel', 'time travel', 'time travel', 'r', 'brad pitt', 'great actors', 'futuristmovies.com', 'bruce willis', 'joseph melito', 'terry gilliam', 'adventure', 'brad pitt', 'bruce willis', 'drama', 'time paradox', 'imdb top 250', 'twist ending', 'dystopia', 'drama', 'sci-fi', 'remake', 'good as hell', 'brad pitt', 'madeleine stowe', 'remake of a french film', 'time travel', 'bruce willis', 'dystopian future', 'excellent', 'time travel', 'bruce willis', 'post apocalyptic', 'time travel', 'brad pitt', 'end of the world', 'time travel', 'end of the world', 'remake of a french film', 'time travel', 'terry gilliam', 'dystopian', 'twist ending', 'excellent', 'brad pitt', 'mindfuck movie', 'brad pitt', 'owned', 'brad pitt', 'bruce willis', 'sci-fi', 'time travel', 'end of the world', 'future', 'post apocalyptic', 'post-apocalyptic', 'time travel', 'twist ending', 'seen at the cinema', 'brad pitt', 'bruce willis', 'adapted from/inspired by:short film', 'nature of insanity', 'plot point:bio-medical danger', 'post-apocalyptic', 'time travel', '3', 'divx1', 'altering history', 'dystopic future', 'saturn award (best costumes)', 'saturn award (best science fiction film)', 'saturn award (best supporting actor)', 'time travel', 'after you watch it you spend hours thinkig about it', 'time travel', 'end of the world', 'future', 'sci-fi', 'time travel', 'dystopia', 'monty-python-related', 'time travel', 'time travel', 'owned', 'dvd', 'bruce willis', ""tumey's dvds"", 'strong director', 'get', 'brad pitt', 'bruce willis', 'terry gilliam', 'time travel', 'time travel', 'time travel', 'twist ending', 'based on short film', 'remake of a french film', 'thriller', 'brad pitt', 'bruce willis', 'terry gilliam', 'terry gilliam', 'memory remains', 'remake', 'sf', 'time travel', 'sci-fi', 'time travel', 'depressing', 'end of the world', 'time travel', 'clearplay', 'r', 'asylum', 'biological warfare', 'dystopia', 'post-apocalyptic', 'remake', 'time travel', 'time travel', 'dystopia', 'post apocalyptic', 'terry gilliam', 'brad pitt', 'dvd-video', 'complicated', 'interesting', 'violence', 'sci-fi', 'twist ending', 'post apocalyptic', 'sci-fi', 'time travel', 'brad pitt', 'bruce willis', 'not seen', 'time travel', ""my favorite reviewers disliked this film: that's when i started to trust them less"", 'mindfuck', 'mindfuck']"
33	Wings of Courage (1995)	['Adventure', 'IMAX', 'Romance']	
34	Babe (1995)	['Children', 'Comedy', 'Drama', 'Fantasy']	['dvd collection', 'animal movie', 'pigs', 'chris noonan', 'adventure', 'infantil', 'boring', 'villain nonexistent or not needed for good story', 'pigs', 'pigs', 'talking animals', 'favorite', 'own', 'way overrated', 'farm tale', 'talking animals', 'animal:pig', 'barnyard animals', 'hugo weaving', 'animal movie', 'biography', 'infantil', 'animal', 'animal', 'animals', 'pigs', 'pig', 'animals', 'clv', 'afi 100 (cheers)']
35	Carrington (1995)	['Drama', 'Romance']	['on dvr', 'artists', 'biopics', 'emma thompson', 'artist', 'strong woman']
36	Dead Man Walking (1995)	['Crime', 'Drama']	"['death penalty', 'based on a book', 'death penalty', 'nun', 'prison', 'sean penn', 'true story', 'death', 'murder', 'strong', 'abe', 'ari', 'knoll', 'rated-r', 'death penalty', 'nun', 'oscar (best actress)', 'death row', 'death penalty', 'prison', 'emotion!', 'death penalty', ""couldn't finish"", 'nun', 'pompadour', 'prison', 'true story', 'pena de muerte', 'nun', '2', 'prison', ""can't remember"", 'buy', 'deaf', 'sean penn', 'watch', 'sean penn', 'book', 'crime', 'drama', 'tim robbins', 'uk', 'usa', 'ethics', 'moral dilemma', 'death penalty', 'nun', 'death', 'institutions', 'prison']"
37	Across the Sea of Time (1995)	['Documentary', 'IMAX']	
38	It Takes Two (1995)	['Comedy']	['twins', 'twins/inter-related lives']
39	Clueless (1995)	['Comedy', 'Romance']	['teen', 'jane austen', 'want to own', 'emma', 'jane austen', 'girlie movie', 'saw it ten times', 'high school', 'jane austen', 'updated classics', 'alicia silverstone', 'best comedy', 'romance', 'adaptation', 'classic', 'jane austen', 'teen', 'like for sure', 'seen more than once', 'romance', 'adapted from:book', 'author:jane austen', 'classic', 'jane austen', 'high school', 'comedy', 'dumb teen', 'alicia silverstone', 'romance', 'chick flick', 'fashion', 'teen', 'very funny!', 'omigawd!', 'author:jane austen']
40	Cry, the Beloved Country (1995)	['Drama']	['in netflix queue', 'south africa', 'disk']
41	Richard III (1995)	['Drama', 'War']	['based on a play', 'robert downey jr', 'shakespeare', 'ian mckellen', 'shakespeare', 'updated classics', 'adapted from:play', 'playwright:shakespeare']
42	Dead Presidents (1995)	['Action', 'Crime', 'Drama']	"['bank robbery', ""eric's dvds""]"
43	Restoration (1995)	['Drama']	['england', '17th century', 'nudity (topless)']
44	Mortal Kombat (1995)	['Action', 'Adventure', 'Fantasy']	['martial arts', 'seen at the cinema', 'adapted from:game', 'video game adaptation', 'christopher lambert', 'video game adaptation', 'movie to see', 'video game adaptation', 'video game adaptation', 'fatality']
45	To Die For (1995)	['Comedy', 'Drama', 'Thriller']	"['journalism', 'library', 'bibliothek', 'best performance:  nicole kidman as suzanne stone maretto', ""erlend's dvds"", 'joaquin phoenix', 'wayne knight', 'dark comedy', 'clearplay', 'r', 'dark comedy', 'dark comedy']"
46	How to Make an American Quilt (1995)	['Drama', 'Romance']	['wedding', 'winona ryder at her worst', 'bibliothek', 'a chick flick', 'nudity (topless - brief)']
47	Seven (a.k.a. Se7en) (1995)	['Crime', 'Horror', 'Mystery', 'Thriller']	"['imdb top 250', 'brad pitt', 'crime', 'serial killer', 'psychology', 'brad pitt', 'crime', 'kevin spacey', 'serial killer', 'want it', 'scary', 'strange', 'spacey: excellent....pitt: brilliant....freeman: wow. a wonderful movie. must must watch', 'serial killer', 'divx', 'genius horror', 'serial killer', 'serial killer', 'crime', 'serial killer', 'serial killer', 'amazing!.', 'books', 'detective', 'envy', 'gluttony', 'greed', 'husband-wife relationship', 'library vhs', 'lust', 'numbers', 'pride', 'religion', 'setting:library', 'seven', 'sin', 'sins', 'sloth', 'week', 'wrath', 'bradpitt', 'serial killer', 'amazing!.', 'brad pitt', 'violent', 'very good', 'aã§ã£o', 'brad pitt', 'drama', 'policial', 'imdb top 250', 'serial killer', 'crime', 'serial killer', 'scope', 'serial killer', 'serial killer', 'kevin spacey', 'morgan freeman', 'very good thriller - brad pitt', 'brad pitt', 'morgan freeman', 'serial killer', 'brad pitt', 'evil', 'investigation', 'serial killer', 'creepy', 'disturbing', 'gloomy', 'grim', 'gruesome', 'menacing', 'murder investigations', 'ominous', 'serial killers', 'crime', 'serial killer', 'police', 'psychological drama', 'brad pitt', 'seen more than once', 'spannend', 'owned', 'brad pitt', 'morgan freeman', 'psychology', 'serial killer', 'gory', 'seen more than once', 'worst ever', 'seen at the cinema', 'top 10 ever', 'watched 1995', 'bfi modern classic', 'murder', 'serial killer', '3.5', 'want', 'david fincher', 'saturn award (best makeup)', 'saturn award (best writing)', 'kevin spacey', 'crime', 'kevin spacey', 'serial killer', 'sins', 'crime', 'investigation', 'powerful ending', 'serial killer', 'super interesting', 'thriller', 'crime', 'serial killer', 'graphic violence', 'crime', 'investigation', 'seven deadly sins', 'owned', 'owned', 'kevin spacey', ""tumey's dvds"", ""tumey's to see again"", 'evil', 'suspenseful', 'scary stuff', 'kevin spacey', 'theater', 'vhs', 'brad pitt', 'serial killer', 'serial killer', 'crime', 'mystery', 'powerful ending', 'psychological drama', 'psychology', 'serial killer', 'twists & turns', 'biblical', 'crime', 'drama', 'twists & turns', 'brad pitt', 'david fincher', 'morgan freeman', 'crime', 'serial killer', 'worst ever', 'crime', 'serial killer', 'in netflix queue', 'crime', 'david fincher', 'drama', 'mystery', 'thriller', 'usa', 'serial killer', 'serial killer', 'clearplay', 'r', 'ashley judd', 'brad pitt', 'dante', 'morgan freeman', 'disturbing', 'serial killer', 'the best', 'suitcase of light', 'brad pitt', 'crime', 'serial killer', 'thriller', 'severed head in a box', 'ashley judd']"
48	Pocahontas (1995)	['Animation', 'Children', 'Musical', 'Romance']	['disney', 'eric goldberg', 'mike gabriel', 'ø§ø\xadø³ø§ø³ø§øªùš', 'disney', 'katottava', 'disney animated feature', '1600s', 'interracial romance', 'oscar (best music - original score)', 'oscar (best music - original song)', 'cartoon', 'disney', 'cartoon', 'disney', 'get', 'david ogden stiers', 'irene bedard', 'john kassir', 'judy kuhn', 'mel gibson', 'russell means', 'disney', 'cartoon', '70mm']
49	When Night Is Falling (1995)	['Drama', 'Romance']	['lesbian', 'own', 'circus', 'nudity (topless - notable)', 'lesbian', 'gay', 'religion']
50	Usual Suspects, The (1995)	['Crime', 'Mystery', 'Thriller']	"['kevin spacey', 'ensemble cast', 'complicated', 'must be seen more than once', 'twist ending', 'crime', 'filim noir', 'funny', 'tricky', 'whodunnit', 'must see more than once', 'great ending', 'heist', 'organized crime', 'twist ending', 'library', 'oscar (best supporting actor)', 'dvd', 'puzzle-like', 'conspiracy', 'oscar (best supporting actor)', 'puzzle-like', 'very good', 'conspiracy', 'sensational', 'imdb top 250', 'crime', 'benicio del toro', 'unreliable narrators', 'benicio del toro', ""best of the 90's"", 'caper movie', 'flash back', 'gabriel byrne', 'kevin spacey', 'twist ending', 'unreliable narrators', 'keyser sose', 'keyser soze', 'twist ending', 'benicio del toro', 'kevin spacey', 'kevin spacey', 'own', 'twist ending', ""erlend's dvds"", 'twist ending', 'caper', 'flashbacks', 'mindfuck', 'oscar:supporting actor', 'seen at the cinema', 'suspense', 'tricky', 'twist ending', 'whodunnit', 'awesome', 'crime', 'tricky', 'imdb top 250', 'dark', 'oscar (best supporting actor)', 'kevin spacey', 'kevin spacey', ""eric's dvds"", 'twist ending', 'want to see again', 'suspense', 'seen at the cinema', '3', 'want', 'must see', 'kevin spacey', 'crime', 'keser soze', 'kevin spacey', 'suspense', 'whodunnit', 'owned', 'keyser sose', 'tricky', ""tumey's dvds"", 'dvd', 'kevin spacey', 'tricky', 'fell asleep', 'overrated', 'spaceyal', 'mindfuck', 'suspense', 'heist', 'complicated', 'conspiracy', 'kevin spacey', 'organized crime', 'oscar (best supporting actor)', 'twist ending', 'kevin spacey', 'watch-again', 'kevin spacey is soze', 'kevin spacey', 'benicio del toro', 'crime', 'gabriel byrne', 'kevin spacey', 'twist ending', 'oscar winner', 'clearplay', 'r', 'my movies', 'kevin spacey', 'organized crime', 'twist', 'whodunnit', 'kevin spacey', 'suspense', 'tricky', 'twist ending', 'suspense', 'complot', 'tricky', 'complot', 'mentiras', 'robo', 'oscar (best supporting actor)', 'twist ending', 'keyser soze', 'mindfuck', 'kevin spacey']"
51	Guardian Angel (1994)	['Action', 'Drama', 'Thriller']	
52	Mighty Aphrodite (1995)	['Comedy', 'Drama', 'Romance']	"['woody allen', 'woody allen', 'adoption', 'prostitution', 'oscar (best supporting actress)', 'woody allen', ""erlend's dvds"", 'woody allen', 'seen at the cinema', 'watched 1995', 'woody allen', 'woody allen']"
53	Lamerica (1994)	['Adventure', 'Drama']	['immigrants', 'library vhs']
54	Big Green, The (1995)	['Children', 'Comedy']	['soccer']
55	Georgia (1995)	['Drama']	['musicians']
56	Kids of the Round Table (1995)	['Adventure', 'Children', 'Fantasy']	
57	Home for the Holidays (1995)	['Drama']	['robert downey jr', 'boring', 'drama', 'lovable']
58	Postman, The (Postino, Il) (1994)	['Comedy', 'Drama', 'Romance']	['writing', 'italian love story', 'on disc', 'italian bittersweet romance', 'italian bittersweet romance', 'pablo neruda', 'poetry', 'sicily', 'writing', 'poetry primer', 'troisi', 'poetry', 'corvallis library']
59	Confessional, The (Confessionnal, Le) (1995)	['Drama', 'Mystery']	['1.5']
60	Indian in the Cupboard, The (1995)	['Adventure', 'Children', 'Fantasy']	['magic']
61	Eye for an Eye (1996)	['Drama', 'Thriller']	
62	Mr. Holland's Opus (1995)	['Drama']	['high school', 'music', 'sappy', 'a great homage to great teachers who educate through living what they think and feel.', 'emotion', 'overrated', 'seen more than once', 'high school', 'teacher as protagonist', 'emotion', 'music', 'music', 'tearful', 'mrs. dewinter', 'glenne headly', 'jay thomas', 'olympia dukakis', 'richard dreyfuss', 'william h. macy', 'inspirational', 'moving', 'music', 'teacher', 'tearful', 'stupid']
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	['Comedy', 'Crime']	['wayans brothers', 'funny when your 10. less funny when your not.']
64	Two if by Sea (1996)	['Comedy', 'Romance']	
65	Bio-Dome (1996)	['Comedy']	"['buddy comedy', 'polly shore', 'golden raspberry (worst actor)', ""can't remember"", 'stupid', 'stupid movie']"
66	Lawnmower Man 2: Beyond Cyberspace (1996)	['Action', 'Sci-Fi', 'Thriller']	['imdb bottom 100', 'crap']
67	Two Bits (1995)	['Drama']	['hw drama']
68	French Twist (Gazon maudit) (1995)	['Comedy', 'Romance']	['nudity (full frontal - notable)', 'vhs']
69	Friday (1995)	['Comedy']	['friendship', 'ice cube', 'wired 50 greatest soundtracks']
70	From Dusk Till Dawn (1996)	['Action', 'Comedy', 'Horror', 'Thriller']	"['quentin tarantino', 'vampires', 'tarantino', 'bar', 'bats', 'bikers', 'bouncer', 'brothers', 'campy', 'frontier', 'hostage', 'intense', 'mexico', 'motorhome', 'on the road', 'perverted', 'preacher', 'see planet terror', 'sex offender', 'snake', 'snakes', ""so bad it's good"", 'splatter', 'strippers', 'tattoo', 'whip', 'cult film', 'quentin tarantino', 'tarantino', 'violence', 'vampires', 'own', 'tarantino', 'diablo', 'cult film', 'nudity (topless - brief)', 'seen at the cinema', 'cult film', 'tarantino', 'vampire', ""didn't finish"", 'tarantino', 'strippers', 'vampires', 'quentin tarantino', 'vampires', 'quentin tarantino', 'robert rodriguez', 'terrible ending', 'vampires', 'tarantino', 'danny trejo', 'great use of music', 'quentin tarantino', 'robert rodriguez', 'vampire', 'vampires', 'violence']"
71	Fair Game (1995)	['Action']	['nudity (topless)']
72	Kicking and Screaming (1995)	['Comedy', 'Drama']	['bad whit stillman', 'coming-of-age', 'literate', 'talky', 'understated', 'wistful', 'witty', 'wry', 'whit stillman meets diner', 'underrated', 'whit stillman', 'coming-of-age']
73	MisÃ©rables, Les (1995)	['Drama', 'War']	
74	Bed of Roses (1996)	['Drama', 'Romance']	['bit too sweet', 'girlie movie', 'romance', 'mary stuart masterson', 'romance']
75	Big Bully (1996)	['Comedy', 'Drama']	['golden raspberry (worst actor)']
76	Screamers (1995)	['Action', 'Sci-Fi', 'Thriller']	['philip k. dick', 'artificial intelligence', 'post apocalyptic', 'philip k. dick', 'nudity (topless)', 'philip k. dick', 'artificial intelligence', 'philip k. dick', 'post apocalyptic', 'philip k. dick']
77	Nico Icon (1995)	['Documentary']	
78	Crossing Guard, The (1995)	['Drama']	['nudity (topless)', 'jack nicholson', 'sean penn']
79	Juror, The (1996)	['Drama', 'Thriller']	['nudity (topless)']
80	White Balloon, The (Badkonake sefid) (1995)	['Children', 'Drama']	"['children', 'different', 'lost classic', 'cultural customs and traditions', 'girl', 'goldfish', 'money', ""new year's eve"", 'on dvr', 'shop (establishment)', 'sibling relationships', 'snake', 'soldier', 'tailor', 'tehran']"
81	Things to Do in Denver When You're Dead (1995)	['Crime', 'Drama', 'Romance']	['colorado', 'recommendz top pick', 'own', 'recommendz top pick', 'underrated', 'detroit', '23-5-2007', 'buscemi']
82	Antonia's Line (Antonia) (1995)	['Comedy', 'Drama']	['sad but good', 'nudity (full frontal)', '2.5', 'intellectual', 'strong woman', 'oscar (best foreign language film)', 'toronto film festival winner', 'toronto film festival winner 1995']
83	Once Upon a Time... When We Were Colored (1995)	['Drama']	['3']
84	Last Summer in the Hamptons (1995)	['Comedy', 'Drama']	
85	Angels and Insects (1995)	['Drama', 'Romance']	['to see', '19th century', 'a. s. byatt', 'a. s. byatt', 'adaptation', 'victorian', 'nudity (full frontal - notable)', 'nudity (full frontal - notable)']
